event_id,event_id2,station,location,channel,p_polarity,origin_latitude,origin_longitude,origin_depth_km
nc72322146,1,KKP,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KPP,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KBN,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,KMR,--,HHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KBS,02,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KIP,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,B935,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,B049,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,B934,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KCS,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KHBB,--,HHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,KCR,02,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,B933,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,B045,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KSM,02,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,CM03A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,B047,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KMPB,--,HHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,CM07A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,B932,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,CM01A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,KCO,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,CM10A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,B046,--,EHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,CM04A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,KHMB,--,HHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,CM06A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,CM09A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,CM08A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,JCC,00,HHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,CM02A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,CM05A,--,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,KCT,--,HHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,FS04D,--,BHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,G01D,--,BHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,FS07D,--,BHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,FS11D,--,HHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KOM,02,EHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,FS15D,--,HHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,FS02D,--,BHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,FS06D,--,BHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,KRP,--,HHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,FS17D,--,HHZ,1.0,40.16000,-123.20783,36.705
nc72322146,1,FS14D,--,HHZ,-1.0,40.16000,-123.20783,36.705
nc72322146,1,FS41D,--,BHZ,1.0,40.16000,-123.20783,36.705
