#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
BK|BRIC|00|BHE|40.11223|-123.8965|180.5|2.8|97.0|0.0|CMG-3T-PH,Velocity Sensor,GURALP|650461000.0|10.0|M/S|40.0|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|BRIC|00|BHN|40.11223|-123.8965|180.5|2.8|7.0|0.0|CMG-3T-PH,Velocity Sensor,GURALP|644390000.0|10.0|M/S|40.0|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|BRIC|00|BHZ|40.11223|-123.8965|180.5|2.8|0.0|-90.0|CMG-3T-PH,Velocity Sensor,GURALP|646992000.0|10.0|M/S|40.0|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|BRIC|00|HHE|40.11223|-123.8965|180.5|2.8|97.0|0.0|CMG-3T-PH,Velocity Sensor,GURALP|614318000.0|25.0|M/S|100.0|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|BRIC|00|HHN|40.11223|-123.8965|180.5|2.8|7.0|0.0|CMG-3T-PH,Velocity Sensor,GURALP|608584000.0|25.0|M/S|100.0|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|BRIC|00|HHZ|40.11223|-123.8965|180.5|2.8|0.0|-90.0|CMG-3T-PH,Velocity Sensor,GURALP|611042000.0|25.0|M/S|100.0|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|BRIC|00|HNE|40.11223|-123.8965|180.5|2.8|101.0|0.0|FORTIS-PH,Accelerometer,GURALP|215561.0|1.0|M/S**2|100.0|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|BRIC|00|HNN|40.11223|-123.8965|180.5|2.8|11.0|0.0|FORTIS-PH,Accelerometer,GURALP|215561.0|1.0|M/S**2|100.0|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|BRIC|00|HNZ|40.11223|-123.8965|180.5|2.8|0.0|-90.0|FORTIS-PH,Accelerometer,GURALP|211872.0|1.0|M/S**2|100.0|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|JCC|00|BHE|40.817451|-124.029549|27.2|0.0|90.0|0.0|STS-2,Velocity Sensor,STRECKEISEN|2571610000.0|1.0|M/S|40.0|2015-09-30T23:20:00|3000-01-01T00:00:00
BK|JCC|00|BHN|40.817451|-124.029549|27.2|0.0|0.0|0.0|STS-2,Velocity Sensor,STRECKEISEN|2569930000.0|1.0|M/S|40.0|2015-09-30T23:20:00|3000-01-01T00:00:00
BK|JCC|00|BHZ|40.817451|-124.029549|27.2|0.0|0.0|-90.0|STS-2,Velocity Sensor,STRECKEISEN|2573290000.0|1.0|M/S|40.0|2015-09-30T23:20:00|3000-01-01T00:00:00
BK|JCC|00|HHE|40.817451|-124.029549|27.2|0.0|90.0|0.0|STS-2,Velocity Sensor,STRECKEISEN|2571610000.0|1.0|M/S|100.0|2015-09-30T23:20:00|3000-01-01T00:00:00
BK|JCC|00|HHN|40.817451|-124.029549|27.2|0.0|0.0|0.0|STS-2,Velocity Sensor,STRECKEISEN|2569930000.0|1.0|M/S|100.0|2015-09-30T23:20:00|3000-01-01T00:00:00
BK|JCC|00|HHZ|40.817451|-124.029549|27.2|0.0|0.0|-90.0|STS-2,Velocity Sensor,STRECKEISEN|2573290000.0|1.0|M/S|100.0|2015-09-30T23:20:00|3000-01-01T00:00:00
BK|JCC|00|HNE|40.817451|-124.029549|27.2|0.0|90.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214064.0|1.0|M/S**2|100.0|2015-10-01T19:13:00|3000-01-01T00:00:00
BK|JCC|00|HNN|40.817451|-124.029549|27.2|0.0|0.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214064.0|1.0|M/S**2|100.0|2015-10-01T19:13:00|3000-01-01T00:00:00
BK|JCC|00|HNZ|40.817451|-124.029549|27.2|0.0|0.0|-90.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214201.0|1.0|M/S**2|100.0|2015-10-01T19:13:00|3000-01-01T00:00:00
BK|PETL|00|BHE|40.28844|-124.34259|49.6|2.8|103.0|0.0|CMG-3T-PH,Velocity Sensor,GURALP|651329000.0|10.0|M/S|40.0|2019-03-01T00:00:00|3000-01-01T00:00:00
BK|PETL|00|BHN|40.28844|-124.34259|49.6|2.8|13.0|0.0|CMG-3T-PH,Velocity Sensor,GURALP|648727000.0|10.0|M/S|40.0|2019-03-01T00:00:00|3000-01-01T00:00:00
BK|PETL|00|BHZ|40.28844|-124.34259|49.6|2.8|0.0|-90.0|CMG-3T-PH,Velocity Sensor,GURALP|648727000.0|10.0|M/S|40.0|2019-03-01T00:00:00|3000-01-01T00:00:00
BK|PETL|00|HHE|40.28844|-124.34259|49.6|2.8|103.0|0.0|CMG-3T-PH,Velocity Sensor,GURALP|615137000.0|25.0|M/S|100.0|2019-03-01T00:00:00|3000-01-01T00:00:00
BK|PETL|00|HHN|40.28844|-124.34259|49.6|2.8|13.0|0.0|CMG-3T-PH,Velocity Sensor,GURALP|612680000.0|25.0|M/S|100.0|2019-03-01T00:00:00|3000-01-01T00:00:00
