Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
3H,A1,41.399753,-122.052204,1542.56,Ash Creek Line Station 1,2021-09-25T18:55:38,2021-11-03T18:29:20
3H,A2,41.402472,-122.061808,1573.78,Ash Creek Line Station 2,2021-09-25T18:35:34,2021-11-03T22:48:22
3H,A3,41.405327,-122.068338,1612.96,Ash Creek Line Station 3,2021-09-25T18:04:38,2021-11-03T18:17:02
3H,A4,41.403222,-122.080329,1683.63,Ash Creek Line Station 4,2021-09-25T17:38:28,2021-10-28T13:25:40
3H,A5,41.393536,-122.088432,1735.78,Ash Creek Line Station 5,2021-09-25T17:12:28,2021-11-03T20:28:14
3H,A6,41.399797,-122.100329,1853.55,Ash Creek Line Station 6,2021-09-25T20:26:52,2021-10-29T05:13:40
3H,A7,41.399762,-122.107449,1926.26,Ash Creek Line Station 7,2021-09-25T19:29:06,2021-11-03T21:17:16
3H,A8,41.400292,-122.116381,2004.19,Ash Creek Line Station 8,2021-09-25T17:24:52,2021-11-03T21:59:40
3H,A9,41.39982,-122.127041,2159.84,Ash Creek Line Station 9,2021-09-25T18:32:02,2021-11-03T23:45:38
3H,I1,41.481617,-122.145042,1871.92,Inconstance Creek Line Station 1,2021-09-26T16:30:40,2021-10-29T05:38:40
3H,I2,41.483833,-122.155206,1910.21,Inconstance Creek Line Station 2,2021-09-26T16:43:34,2021-11-04T19:52:22
3H,I3,41.479065,-122.164588,1945.44,Inconstance Creek Line Station 3,2021-09-26T16:59:22,2021-10-29T13:10:58
3H,I4,41.473527,-122.166799,2025.47,Inconstance Creek Line Station 4,2021-09-26T17:18:52,2021-10-31T17:27:16
3H,M1,41.291624,-122.057685,1101.29,Mud Creek Line Station 1,2021-09-25T20:31:36,2021-10-27T20:06:48
3H,M2,41.303647,-122.080077,1210.16,Mud Creek Line Station 2,2021-09-25T21:05:08,2021-11-03T15:58:20
3H,M3,41.318035,-122.09722,1326.75,Mud Creek Line Station 3,2021-09-25T21:41:38,2021-11-03T16:35:14
3H,M4,41.334725,-122.10386,1522.13,Mud Creek Line Station 4,2021-09-26T00:25:58,2021-11-04T01:14:22
3H,M5,41.349201,-122.113081,1708.85,Mud Creek Line Station 5,2021-09-25T23:48:28,2021-11-04T01:14:04
3H,M6,41.365608,-122.127481,1993.47,Mud Creek Line Station 6,2021-09-25T21:37:56,2021-11-03T17:02:44
3H,M7,41.377799,-122.135898,2195.97,Mud Creek Line Station 7,2021-09-25T22:30:18,2021-11-03T16:32:18
3H,M8,41.384644,-122.162268,2549.07,Mud Creek Line Station 8,2021-09-26T00:00:00,2021-10-28T00:00:00
3H,W3,41.498863,-122.260896,1420.66,Whitney Creek Line Station 3,2021-09-24T19:58:28,2021-11-04T18:16:52
3H,W4,41.490003,-122.255795,1512.02,Whitney Creek Line Station 4,2021-09-24T19:10:36,2021-10-26T13:30:12
3H,W5,41.479002,-122.245397,1704.43,Whitney Creek Line Station 5,2021-09-24T18:13:52,2021-11-04T16:51:04
3H,W6,41.470147,-122.241062,1829.75,Whitney Creek Line Station 6,2021-09-24T19:10:34,2021-11-04T22:39:20
3H,W7,41.456973,-122.236162,2141.96,Whitney Creek Line Station 7,2021-09-24T21:06:46,2021-11-04T21:47:58
3H,W8,41.44906,-122.229784,2312.52,Whitney Creek Line Station 8,2021-09-24T22:15:38,2021-11-04T21:06:02
3H,W9,41.443286,-122.22675,2490.82,Whitney Creek Line Station 9,2021-09-24T23:23:10,2021-10-27T04:25:34
