Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
4P,CAM03,41.491175,-122.628028,1631.0625,"Macks Gulch, CA, USA",2010-07-09T20:45:59,2010-08-19T15:43:43
4P,CAM04,41.4153,-121.833,1516.95,"Snag Hill, CA, USA",2010-09-09T22:12:20,2010-10-05T17:08:44
4P,CAM05,41.411506,-120.868,1347.04375,"Portuguese Ridge, CA, USA",2010-07-01T22:48:38,2010-08-19T22:11:15
4P,CAM94,41.461288,-121.692,1495.91875,"Snag Hill, CA, USA",2010-07-15T20:59:13,2010-09-08T17:36:55
4P,CAN01,41.1683,-124.091,172.9375,"Redwood Park, CA, USA",2010-07-07T21:39:53,2010-08-04T18:46:28
4P,CAN02,40.8663,-123.449,317.9,"Happy Camp, CA, USA",2010-08-15T01:45:20,2010-10-02T20:10:02
4P,CAN04,40.8194,-121.572,1346.50625,"Burney Mt, CA, USA",2010-07-02T23:52:29,2010-09-22T15:48:34
4P,CAN05,40.762138,-120.794,3988.45,"Cleghorn Reservoir, CA, USA",2010-07-07T20:23:48,2010-08-03T22:22:08
4P,CAN06,40.7856,-120.109,1676.2,"Painters Creek, CA, USA",2010-09-12T11:50:56,2010-10-06T16:32:43
4P,CAO01,40.6278,-123.935,698.0,"Gift Ranch, CA, USA",2010-06-02T02:01:32,2010-06-30T16:44:38
4P,CAO02,40.4668,-123.18,768.85,"Philpot Creek, California, USA",2010-08-05T21:30:49,2010-08-28T18:11:12
4P,CAO03,40.293425,-122.515,233.575,"Packer Gulch, CA, USA",2010-07-03T22:05:26,2010-08-05T16:50:22
4P,CAO04,40.217,-121.523,1590.3875,"Collins Pine, CA, USA",2010-07-06T19:37:31,2010-08-03T17:27:10
4P,CAO05,40.247,-120.704,1732.9375,"Taylor Lake, CA, USA",2010-07-08T20:40:58,2010-08-20T18:05:05
4P,CAO06,40.1042,-120.015,1211.5,"Honey Lake Valley, CA, USA",2010-09-21T21:20:54,2010-11-09T18:42:23
4P,CAP01,40.0364,-123.766,448.9,"Mt Reed, CA, USA",2010-07-23T22:41:40,2010-08-06T15:51:28
4P,CAP02,39.702975,-123.064,1331.075,"Hayshed Creek, CA, USA",2010-07-01T15:52:28,2010-08-06T20:11:38
4P,CAP03,39.6414,-122.352,118.6375,"Sheep Corral Creek, CA, USA",2010-07-10T18:14:44,2010-08-25T15:20:52
4P,CAP04,39.5914,-121.332,686.625,"Lake Oroville, CA, USA",2010-08-03T00:17:43,2010-08-24T20:23:01
4P,CAP05,39.505597,-120.719,1892.2109375,"Yuba River, CA, USA",2010-07-17T19:33:21,2010-09-15T15:23:08
4P,REN03,41.026931,-121.971082,883.5375,"Dog Creek Mt, CA, USA",2010-07-28T20:53:43,2010-09-07T16:29:37
4P,REN03,40.899572,-122.506168,1094.35,"Dog Creek Mt., CA, USA",2011-06-10T19:09:51,2011-07-02T17:32:53
