Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
5E,CM01A,40.722698,-123.985397,708.0,Kneeland CA,2014-10-04T00:00:00,2015-10-10T23:59:59
5E,CM02A,40.660801,-124.1688,122.0,Eureka CA,2014-10-04T00:00:00,2015-10-11T23:59:59
5E,CM03A,40.602798,-123.959099,582.0,Fortuna CA,2014-10-04T00:00:00,2015-10-11T23:59:59
5E,CM04A,40.5826,-124.108803,111.0,Fortuna CA,2014-10-04T00:00:00,2015-10-10T23:59:59
5E,CM05A,40.5396,-124.239403,103.0,Ferndale CA,2014-10-04T00:00:00,2015-10-10T23:59:59
5E,CM06A,40.483101,-124.2286,649.0,Cape Mendocino CA,2014-10-04T00:00:00,2015-10-10T23:59:59
5E,CM07A,40.473099,-124.084099,311.0,Scotia CA,2014-10-04T00:00:00,2015-10-11T23:59:59
5E,CM08A,40.435001,-124.281502,417.0,Cape Mendocino CA,2014-10-05T00:00:00,2015-10-10T23:59:59
5E,CM09A,40.3321,-124.330498,218.0,Cape Mendocino CA,2014-10-04T00:00:00,2015-10-10T23:59:59
5E,CM10A,40.317101,-124.264503,68.0,Petrolia CA,2014-10-04T00:00:00,2015-10-10T23:59:59
