Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
7D,FS01B,40.326801,-124.949203,-940.0,SIO OBS ID FS01B,2012-09-02T00:00:00,2013-06-19T23:59:59
7D,FS02B,40.351101,-124.797997,-1402.8,LDEO OBS STANDARD DEEP,2012-09-13T00:00:00,2013-07-03T23:59:59
7D,FS02D,40.326,-124.800201,-947.9,WHOI OBS ID S86,2014-07-16T00:00:00,2015-08-28T23:59:59
7D,FS03B,40.273201,-124.652603,-345.0,LDEO OBS TRAWL-RESISTANT,2012-09-13T00:00:00,2013-07-02T23:59:59
7D,FS04B,40.244701,-124.509697,-159.0,LDEO OBS TRAWL-RESISTANT,2012-09-14T00:00:00,2013-07-01T23:59:59
7D,FS04D,40.2528,-124.505203,-155.0,SIO OBS ID FS04D,2014-08-12T00:00:00,2015-09-15T23:59:59
7D,FS05B,40.3866,-124.899597,-2316.0,WHOI OBS ID S80,2012-08-27T00:00:00,2013-06-12T23:59:59
7D,FS06B,40.381199,-124.785301,-2198.0,WHOI OBS ID S87,2012-08-27T00:00:00,2013-06-12T23:59:59
7D,FS06D,40.369999,-124.806702,-1946.8,WHOI OBS ID S89,2014-07-16T00:00:00,2015-08-28T23:59:59
7D,FS07B,40.339199,-124.659599,-1297.0,LDEO OBS STANDARD DEEP,2012-09-13T00:00:00,2013-07-03T23:59:59
7D,FS07D,40.337898,-124.6577,-1273.7,WHOI OBS ID S84,2014-07-17T00:00:00,2015-08-27T23:59:59
7D,FS08B,40.336601,-124.459801,-120.0,LDEO OBS TRAWL-RESISTANT,2012-09-14T00:00:00,2013-07-02T23:59:59
7D,FS08D,40.334702,-124.465302,-132.0,SIO OBS ID FS08D,2014-08-12T00:00:00,2015-09-15T23:59:59
7D,FS09B,40.438702,-124.808502,-2161.0,WHOI OBS ID S85,2012-08-28T00:00:00,2013-06-12T23:59:59
7D,FS09D,40.437698,-124.803703,-2122.1,WHOI OBS ID S83,2014-07-16T00:00:00,2015-08-28T23:59:59
7D,FS10B,40.432999,-124.6819,-1076.0,LDEO OBS STANDARD DEEP,2012-09-13T00:00:00,2013-07-02T23:59:59
7D,FS10D,40.4328,-124.694,-1153.8,WHOI OBS ID S81,2014-07-17T00:00:00,2015-08-27T23:59:59
7D,FS11B,40.429199,-124.577797,-132.0,LDEO OBS TRAWL-RESISTANT,2012-09-15T00:00:00,2013-07-03T23:59:59
7D,FS11D,40.428501,-124.577499,-150.0,LDEO OBS TRAWL-RESISTANT,2014-09-15T00:00:00,2015-10-07T23:59:59
7D,FS12B,40.437099,-124.505898,-60.0,LDEO OBS TRAWL-RESISTANT,2012-09-14T00:00:00,2013-07-02T23:59:59
7D,FS12D,40.445599,-124.510498,-55.0,LDEO OBS TRAWL-RESISTANT,2014-09-15T00:00:00,2015-10-06T23:59:59
7D,FS13B,40.493099,-124.806503,-2332.0,LDEO OBS STANDARD DEEP,2012-09-12T00:00:00,2013-07-03T23:59:59
7D,FS13D,40.493698,-124.803398,-2291.2,WHOI OBS ID S80,2014-07-16T00:00:00,2015-08-28T23:59:59
7D,FS14B,40.495499,-124.591797,-107.0,SIO OBS ID FS14B,2012-09-02T00:00:00,2013-06-19T23:59:59
7D,FS14D,40.492298,-124.603897,-145.0,LDEO OBS TRAWL-RESISTANT,2014-09-14T00:00:00,2015-10-06T23:59:59
