Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
BK,LCOW,40.64261,-122.18524,236.2,"Little Cow Creek, Bella Vista, CA",2020-06-05T00:00:00,2020-06-10T18:50:00
BK,AONC,39.93981,-122.0608,70.0,"Abbey of New Clairvaux, Vina, CA",2020-06-11T18:50:00,3000-01-01T00:00:00
BK,ARC,40.87772,-124.077377,30.1,"Humboldt State University, Arcata, CA, USA",1992-05-28T19:48:00,2001-08-02T00:36:00
BK,BAKR,40.280351,-122.492261,191.2,"Baker Fire Station, Cottonwood, CA",2022-03-30T22:30:00,3000-01-01T00:00:00
BK,BAYL,39.60519,-122.05753,37.3,Bayliss; Glenn County,2023-08-08T22:20:00,3000-01-01T00:00:00
BK,BCCR,39.81856,-121.73417,518.8,"Big Chico Creek, Paradise, CA USA",2020-10-07T00:00:00,3000-01-01T00:00:00
BK,BIGV,41.09439,-121.22769,1487.3,"Big Valley, Lassen County",2022-06-29T20:45:00,3000-01-01T00:00:00
BK,BJES,40.54362,-123.87996,1050.7,"Bald Jesse, Humboldt County, CA",2019-08-22T00:00:00,3000-01-01T00:00:00
BK,BLAS,40.3227,-123.53248,1679.3,Black Lassic,2022-06-29T00:35:00,3000-01-01T00:00:00
BK,BRIC,40.11223,-123.8965,180.5,"Briceland Vineyard, Redway, CA",2019-02-28T00:00:00,3000-01-01T00:00:00
BK,BRIT,41.03541,-121.6497,843.5,Lake Britton,2022-01-20T20:55:00,3000-01-01T00:00:00
BK,DANT,40.294601,-121.802101,967.0,"Paynes Creek, CA, USA",2016-11-18T12:00:00,3000-01-01T00:00:00
BK,DIAZ,41.00383,-120.74563,1984.0,"Diaz Spring, Lassen County",2022-08-18T16:00:00,3000-01-01T00:00:00
BK,DLIK,40.45543,-122.89424,1293.0,"Deerlick Springs, Shasta County, CA",2019-11-20T00:00:00,3000-01-01T00:00:00
BK,DMOR,40.70973,-123.70331,1305.0,"Dinsmores, Humboldt County, CA",2019-08-20T00:00:00,3000-01-01T00:00:00
BK,EAGL,40.62486,-120.72893,1564.7,"Eagle Lake, Susanville, CA USA",2020-10-22T00:00:00,3000-01-01T00:00:00
BK,ELFS,40.618351,-120.727913,1554.5,"Eagle Lake Biol. Field Stn., Susanville, CA, USA",2005-05-19T00:00:00,2007-10-10T17:44:00
