Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
CE,76140,39.585,-120.3697,1515.0,Sierraville,2004-06-28T00:00:00,3000-01-01T00:00:00
CE,77058,39.7269,-121.6809,335.0,Paradise - Skyway Rd,2002-10-03T00:00:00,3000-01-01T00:00:00
CE,78342,39.6547,-122.7226,1325.0,Alder Springs - USFS,2013-06-24T00:00:00,3000-01-01T00:00:00
CE,79036,39.807,-123.2464,425.0,Covelo - CDF Fire Station,2004-01-27T00:00:00,3000-01-01T00:00:00
CE,79435,39.9238,-123.7616,245.0,Leggett - Confusion Hill Bridge Grnds,2009-06-26T00:00:00,3000-01-01T00:00:00
CE,86113,40.273,-120.117,1220.0,Herlong - Sierra Ordinance Depot,2007-05-23T00:00:00,3000-01-01T00:00:00
CE,87050,40.5359,-121.5629,1797.0,Lassen National Park,2013-06-25T00:00:00,3000-01-01T00:00:00
CE,87053,40.2477,-121.1454,1373.0,Lake Almanor - Fire Station,2003-10-22T00:00:00,3000-01-01T00:00:00
CE,88732,40.3983,-122.2668,138.0,Cottonwood - Trefoil & Locust,2022-10-31T00:00:00,3000-01-01T00:00:00
CE,89005,40.3481,-124.3532,76.0,Cape Mendocino,2005-08-03T00:00:00,3000-01-01T00:00:00
CE,89255,40.5922,-124.1463,16.0,Fortuna - Smith & Fortuna Blvd,2005-08-03T00:00:00,3000-01-01T00:00:00
CE,89462,40.5036,-124.101,43.0,Rio Dell - 101/Painter St Overpass Grnds,2010-05-12T00:00:00,3000-01-01T00:00:00
CE,89509,40.802,-124.148,7.0,Eureka - Myrtle & West Avenue,2006-01-09T00:00:00,2014-05-22T00:00:00
CE,89641,40.7996,-124.1487,16.0,Eureka - Myrtle & West B,2019-11-06T00:00:00,3000-01-01T00:00:00
CE,97049,41.009,-121.648,903.0,McArthur - Burney Falls State Park,2004-06-21T00:00:00,2005-07-19T00:00:00
CE,97049,41.009,-121.648,903.0,McArthur - Burney Falls State Park,2005-07-20T00:00:00,3000-01-01T00:00:00
CE,99700,41.2906,-124.0569,10.0,Orick - Volunteer Fire Station,2019-11-20T00:00:00,3000-01-01T00:00:00
CE,77057,39.7171,-121.8164,62.0,Chico,2002-11-12T00:00:00,3000-01-01T00:00:00
CE,77352,39.5113,-121.5041,123.0,Oroville - Park & Rec District,2005-03-08T00:00:00,3000-01-01T00:00:00
CE,79042,39.74,-123.815,33.0,Rockport,2006-09-14T00:00:00,3000-01-01T00:00:00
CE,79046,39.7379,-123.8149,8.0,Rockport A,2019-04-23T00:00:00,3000-01-01T00:00:00
CE,79325,39.706,-123.301,479.0,Dos Rios,2004-01-27T00:00:00,3000-01-01T00:00:00
CE,86265,40.5037,-120.558,1491.0,Susanville,2005-07-21T00:00:00,3000-01-01T00:00:00
CE,88048,40.982,-122.709,823.0,Trinity Center,2004-02-05T00:00:00,3000-01-01T00:00:00
CE,88059,40.575,-122.382,149.0,Redding - Cypress Fire Sta,2002-10-16T00:00:00,3000-01-01T00:00:00
CE,88060,40.187,-122.203,82.0,Red Bluff - Fairgrounds,2002-10-16T00:00:00,3000-01-01T00:00:00
CE,88195,40.759,-122.318,329.0,Redding - I5/Shasta Lake Bridge Grnds,2009-04-28T00:00:00,3000-01-01T00:00:00
CE,88639,40.8837,-122.3822,329.0,Shasta Lake - I5/Antlers Bridge Grnds,2017-04-20T00:00:00,3000-01-01T00:00:00
CE,89101,40.325,-124.2877,37.0,Petrolia - Fire Station,2002-06-19T00:00:00,3000-01-01T00:00:00
CE,89146,40.9406,-123.6327,180.0,Willow Creek,2005-08-10T00:00:00,3000-01-01T00:00:00
CE,89464,40.9567,-124.1164,25.0,Arcata - Hwy 101/Murray Rd Bridge Grds,2011-12-08T00:00:00,3000-01-01T00:00:00
CE,89486,40.584,-124.145,21.0,Fortuna - 701 S. Fortuna Blvd.,2005-08-03T00:00:00,3000-01-01T00:00:00
CE,89530,40.0261,-124.0705,20.0,Shelter Cove - Airport,2005-08-02T00:00:00,3000-01-01T00:00:00
CE,89688,40.0331,-124.0769,28.0,Shelter Cove - Airport A,2019-04-24T00:00:00,3000-01-01T00:00:00
CE,89734,40.8187,-124.1656,1.0,Eureka - Geotechnical Array,2009-06-18T00:00:00,3000-01-01T00:00:00
CE,89781,40.7834,-124.1435,35.0,Eureka - Harris & Dolbeer,2005-05-10T00:00:00,3000-01-01T00:00:00
CE,96142,41.2329,-120.503,1347.0,Likely - Fire Station,2003-09-24T00:00:00,3000-01-01T00:00:00
CE,97019,41.0521,-121.4016,1009.0,McArthur - Fairgrounds,2002-09-10T00:00:00,3000-01-01T00:00:00
CE,97049,41.009,-121.648,903.0,McArthur - Burney Falls State Park,2005-07-19T00:00:00,2005-07-20T00:00:00
CE,99640,41.137,-124.151,72.0,Patricks Point - State Park,2004-02-05T00:00:00,3000-01-01T00:00:00
