Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
EM,CAM03,41.491001,-122.627998,1633.4,"Macks Gulch, CA, USA",2010-07-09T20:45:59,2010-08-19T15:43:43
EM,CAM04,41.463001,-121.692001,1497.1,"Snag Hill, CA, USA",2010-07-15T20:59:13,2010-07-28T23:56:19
EM,CAM04,41.415001,-121.833,1517.0,"Snag Hill, CA, USA",2010-09-09T22:12:20,2010-10-05T17:08:44
EM,CAM05,41.411999,-120.867996,1344.9,"Portuguese Ridge, CA, USA",2010-07-01T22:48:38,2010-08-19T22:11:15
EM,CAM94,41.462002,-121.692001,1496.4,"Snag Hill, CA, USA",2010-07-15T20:59:13,2010-09-08T17:36:55
EM,CAN01,41.167999,-124.091003,173.2,"Redwood Park, CA, USA",2010-07-07T21:39:53,2010-08-04T18:46:28
EM,CAN02,40.866001,-123.448997,317.9,"Happy Camp, CA, USA",2010-08-15T01:45:20,2010-10-02T20:10:02
EM,CAN03,41.027,-121.971001,883.2,"Dog Creek Mt, CA, USA",2010-07-28T20:53:43,2010-09-07T16:29:37
EM,CAN03,40.900002,-122.505997,1094.4,"Dog Creek Mt., CA, USA",2011-06-10T19:09:51,2011-07-02T17:32:53
EM,CAN04,40.819,-121.571999,1347.3,"Burney Mt, CA, USA",2010-07-02T23:52:29,2010-09-22T15:48:34
EM,CAN05,40.762001,-120.793999,6104.6,"Cleghorn Reservoir, CA, USA",2010-07-07T20:23:48,2010-08-03T22:22:08
EM,CAN06,40.785999,-120.109001,1676.2,"Painters Creek, CA, USA",2010-09-12T11:50:56,2010-10-06T16:32:43
EM,CAO01,40.627998,-123.934998,698.0,"Gift Ranch, CA, USA",2010-06-02T02:01:32,2010-06-30T16:44:38
EM,CAO02,40.466999,-123.18,768.8,"Philpot Creek, California, USA",2010-08-05T21:30:49,2010-08-28T18:11:12
EM,CAO03,40.292999,-122.514999,233.4,"Packer Gulch, CA, USA",2010-07-03T22:05:26,2010-08-05T16:50:22
EM,CAO04,40.216999,-121.523003,1589.5,"Collins Pine, CA, USA",2010-07-06T19:37:31,2010-08-03T17:27:10
EM,CAO05,40.247002,-120.704002,1732.9,"Taylor Lake, CA, USA",2010-07-08T20:40:58,2010-08-20T18:05:05
EM,CAO06,40.104,-120.014999,1211.5,"Honey Lake Valley, CA, USA",2010-09-21T21:20:54,2010-11-09T18:42:23
EM,CAP01,40.035999,-123.765999,448.9,"Mt Reed, CA, USA",2010-07-23T22:41:40,2010-08-06T15:51:28
EM,CAP02,39.702999,-123.064003,1330.7,"Hayshed Creek, CA, USA",2010-07-01T15:52:28,2010-08-06T20:11:38
EM,CAP03,39.640999,-122.351997,118.6,"Sheep Corral Creek, CA, USA",2010-07-10T18:14:44,2010-08-25T15:20:52
EM,CAP04,39.591,-121.332001,686.6,"Lake Oroville, CA, USA",2010-08-03T00:17:43,2010-08-24T20:23:01
EM,CAP05,39.506001,-120.719002,1892.1,"Yuba River, CA, USA",2010-07-17T19:33:21,2010-09-15T15:23:08
