Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
NC,LRB,40.143227,-122.557716,308.0,Red Bank,2023-07-17T23:59:00,2599-12-31T23:59:59
NC,G002,39.591915,-123.783699,30.0,N Highway 1 Fort Bragg,2012-12-06T00:21:00,3000-01-01T00:00:00
NC,GBB,39.80127,-122.345497,170.0,Black Butte Lake,2000-12-06T18:38:00,3000-01-01T00:00:00
NC,GCK,39.543755,-122.436684,251.0,Clark Valley,2000-06-06T21:58:00,3000-01-01T00:00:00
NC,GRO,39.916843,-122.671165,1261.0,Round Mountain,1990-12-13T23:30:00,2021-08-12T16:27:00
NC,GROB,39.91676,-122.67078,1301.0,Round Mountain,2021-11-11T00:00:00,3000-01-01T00:00:00
NC,GVV,39.775097,-122.675514,1457.0,Valley View,2002-04-28T00:00:00,2021-03-09T00:11:00
NC,K002,41.363411,-124.01931,45.0,Newton B Drury Pky Orick,2012-12-04T17:18:00,3000-01-01T00:00:00
NC,K003,40.935638,-124.099701,36.0,Sutter Rd McKinleyville,2012-12-04T22:36:00,3000-01-01T00:00:00
NC,K004,40.246887,-124.119537,170.0,Old Hinley Ranch Rd Honeydew,2012-12-05T18:49:00,3000-01-01T00:00:00
NC,KBB,40.197128,-123.851517,538.0,Bear Buttes,1984-01-01T00:00:00,2002-08-27T23:59:00
NC,KBB,40.197128,-123.851517,538.0,Bear Buttes,2002-08-29T00:00:00,2003-07-24T23:59:00
NC,KBN,39.892372,-123.19503,1329.0,Bluenose Ridge,1984-01-01T00:00:00,2002-10-16T23:59:00
NC,KBN,39.892372,-123.19503,1329.0,Bluenose Ridge,2002-10-17T00:00:00,2020-11-03T19:46:00
NC,KBN,39.892372,-123.19503,1329.0,Bluenose Ridge,2021-02-26T00:48:00,3000-01-01T00:00:00
NC,KBR,40.728973,-123.954521,795.0,Barry Ridge,1984-01-01T00:00:00,2000-07-25T22:45:00
NC,KBS,39.917187,-123.595612,1120.0,Bell Springs ,,
NC,KBS,39.917187,-123.595612,1120.0,Bell Springs ,,
NC,KBS,39.917187,-123.595612,1120.0,Bell Springs ,,
NC,KBU,40.24553,-123.8532,577.0,Burgh Ranch,2019-05-22T00:00:00,3000-01-01T00:00:00
NC,KCO,40.256748,-124.265984,892.0,Cooskie Peak,2012-09-19T16:05:00,2016-09-27T22:31:00
NC,KCO,40.256748,-124.265984,892.0,Cooskie Peak,2016-09-29T23:10:00,3000-01-01T00:00:00
NC,KCP,39.687332,-123.577667,1261.0,Cahto Peak ,,
NC,KCPB,39.68631,-123.58242,1261.0,Cahto Peak ,,
NC,KCPB,39.68631,-123.58242,1261.0,Cahto Peak ,,
NC,KCPC,39.68555,-123.58183,1271.0,Cahto Peak ,,
NC,KCR,40.426441,-123.820641,873.0,Chalk Rock ,,
NC,KCR,40.426441,-123.820641,873.0,Chalk Rock ,,
NC,KCR,40.426441,-123.820641,873.0,Chalk Rock ,,
NC,KCS,40.53791,-123.513939,1640.0,Cold Springs,1992-08-13T23:36:00,2002-08-27T23:59:00
NC,KCS,40.53791,-123.513939,1640.0,Cold Springs,2002-08-28T00:00:00,2020-11-05T21:35:00
NC,KCSB,40.538363,-123.513998,1658.5,Cold Springs,2021-10-13T00:00:00,3000-01-01T00:00:00
NC,KCT,40.475567,-124.337486,378.0,Cape Town,1984-01-01T00:00:00,2002-08-27T23:59:00
NC,KCT,40.475567,-124.337486,378.0,Cape Town,2002-08-29T00:00:00,3000-01-01T00:00:00
NC,KFP,39.638885,-123.42514,768.0,KFP 01 Prelim,1984-01-01T00:00:00,2002-10-16T23:59:00
NC,KFP,39.638885,-123.42514,768.0,KFP 01 Prelim,2002-10-17T00:00:00,2020-09-24T17:50:00
NC,KFP,39.638885,-123.42514,768.0,KFP 01 Prelim,2020-11-03T21:00:00,3000-01-01T00:00:00
NC,KGM,40.758789,-123.673798,1604.0,Grouse Mountain,1984-01-01T00:00:00,1995-10-06T23:58:00
NC,KHB,40.659901,-123.219658,1864.0,Hayfork Bally,1991-11-19T00:00:00,2002-06-13T01:39:00
NC,KHB,40.659901,-123.219658,1864.0,Hayfork Bally,2002-06-13T01:40:00,2003-09-11T23:30:00
NC,KHBB,40.659901,-123.219658,1864.0,Hayfork Bally,2003-09-11T23:30:00,3000-01-01T00:00:00
NC,KHM,40.874493,-123.732361,1476.0,Horse Mountain,1991-07-12T20:30:00,2002-06-05T01:10:00
NC,KHMB,40.874748,-123.73259,1501.0,Horse Mountain,1999-08-06T00:00:00,2002-06-13T00:19:00
NC,KHMB,40.874748,-123.73259,1501.0,Horse Mountain,2002-06-13T00:20:00,3000-01-01T00:00:00
NC,KIP,39.808517,-123.481293,1359.0,Iron Peak,1984-01-01T00:00:00,2002-10-16T23:59:00
NC,KIP,39.808517,-123.481293,1359.0,Iron Peak,2002-10-17T00:00:00,3000-01-01T00:00:00
NC,KJJ,40.24744,-124.308273,693.0,Johnny Jack Ridge,1991-08-22T23:20:00,2002-08-27T23:59:00
NC,KJJ,40.24744,-124.308273,693.0,Johnny Jack Ridge,2002-08-29T00:00:00,2012-09-19T16:05:00
NC,KKP,40.145794,-123.46965,1226.0,Kettenpom Peak,1984-01-01T00:00:00,2002-08-27T23:59:00
