Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
NP,1010,39.8126,-122.33628,155.0,CA:Black Butte Dam,2000-04-25T18:00:00,2599-12-31T23:59:59
NP,1023,40.57616,-124.26367,16.0,CA:Ferndale;FS,1999-12-17T18:00:00,2599-12-31T23:59:59
NP,1505,39.8842,-120.47628,1781.0,CA:Grizzly Valley Dam,1995-11-30T18:00:00,2018-01-01T18:00:00
NP,1580,40.87417,-124.07618,36.0,CA:Arcata;Humboldt St Univ,1999-12-15T18:00:00,2014-02-12T18:00:00
NP,1580,40.87417,-124.07618,36.0,CA:Arcata;Humboldt St Univ,2015-10-07T18:00:00,2599-12-31T23:59:59
NP,1581,40.73501,-124.20763,4.0,CA:Eureka;South Bay School,1999-12-15T18:00:00,2599-12-31T23:59:59
NP,1582,40.69939,-124.20093,13.0,CA:Eureka;Coll of the Redwoods,1999-12-16T18:00:00,2018-07-09T18:00:00
NP,1582,40.69939,-124.20093,13.0,CA:Eureka;Coll of the Redwoods,2018-10-19T18:00:00,2599-12-31T23:59:59
NP,1584,40.49761,-124.29448,753.0,CA:Ferndale;Bunker Hill  FAA,1999-12-17T18:00:00,2022-06-28T18:00:00
NP,1584B,40.49857,-124.29232,720.0,CA:Ferndale;Bunker Hill NOAA,2022-06-29T18:00:00,2599-12-31T23:59:59
NP,1586,40.6442,-124.22071,36.0,CA:Loleta;FS,1999-12-18T18:00:00,2599-12-31T23:59:59
NP,1591,40.10538,-123.79032,178.0,CA:Garberville;FS,2018-10-15T18:00:00,2599-12-31T23:59:59
NP,1725,40.54408,-124.3544,173.0,CA:Ferndale;Lost Coast Ranch,1994-02-10T18:00:00,2599-12-31T23:59:59
NP,1746,40.58908,-124.1479,18.0,CA:Fortuna;FS,1998-07-23T18:00:00,2019-04-16T18:00:00
NP,1010,39.8126,-122.33628,155.0,CA:Black Butte Dam,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,1580,40.87417,-124.07618,36.0,CA:Arcata;Humboldt St Univ,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,1581,40.73501,-124.20763,4.0,CA:Eureka;South Bay School,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,1586,40.6442,-124.22071,36.0,CA:Loleta;FS,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,1725,40.54408,-124.3544,173.0,CA:Ferndale;Lost Coast Ranch,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,1023,40.57616,-124.26367,16.0,CA:Ferndale;FS,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,1580,40.87417,-124.07618,36.0,CA:Arcata;Humboldt St Univ,2014-02-12T18:00:00,2015-10-07T18:00:00
NP,1582,40.69939,-124.20093,13.0,CA:Eureka;Coll of the Redwoods,2018-07-09T18:00:00,2018-10-19T18:00:00
NP,1582,40.69939,-124.20093,13.0,CA:Eureka;Coll of the Redwoods,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,1584B,40.49857,-124.29232,720.0,CA:Ferndale;Bunker Hill NOAA,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,1591,40.10538,-123.79032,178.0,CA:Garberville;FS,2599-12-31T23:59:59,3000-01-01T00:00:00
