Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
PB,B039,41.4667,-122.4847,923.9,"cofflt039bcn2007, Weed, CA, USA",2007-10-15T00:00:00,2599-12-31T23:59:59
PB,B045,40.436001,-123.996498,29.4,"rdcrst045bcn2008, Pepperwood, CA, USA",2008-09-16T00:00:00,2599-12-31T23:59:59
PB,B046,40.321972,-124.284302,44.0,"mattol046scn2008, Petrolia, CA, USA",2008-08-26T00:00:00,2599-12-31T23:59:59
PB,B047,40.249933,-124.169848,80.0,"chapmn047scn2008, Mendocino, CA, USA",2008-09-04T00:00:00,2599-12-31T23:59:59
PB,B049,40.237499,-123.819702,117.0,"mirand049scn2008, Mendocino, CA, USA",2008-11-12T00:00:00,2599-12-31T23:59:59
PB,B932,40.275002,-124.221199,52.0,"burogh932scn2008, Petrolia, CA, USA",2008-10-17T00:00:00,2599-12-31T23:59:59
PB,B933,40.060001,-123.969002,268.1,"mckeem933bcn2008, Thorn Junction, CA, USA",2008-09-12T00:00:00,2599-12-31T23:59:59
PB,B934,39.844501,-123.691399,331.0,"legget934bcn2008, Leggett, CA, USA",2008-09-26T00:00:00,2599-12-31T23:59:59
PB,B935,40.478699,-123.573196,696.7,"dinsmr935bcn2008, Dinsmore, CA, USA",2008-10-28T00:00:00,2599-12-31T23:59:59
PB,B046,40.321972,-124.284302,44.0,"mattol046scn2008, Petrolia, CA, USA",2599-12-31T23:59:59,3000-01-01T00:00:00
PB,B932,40.275002,-124.221199,52.0,"burogh932scn2008, Petrolia, CA, USA",2599-12-31T23:59:59,3000-01-01T00:00:00
PB,B934,39.844501,-123.691399,331.0,"legget934bcn2008, Leggett, CA, USA",2599-12-31T23:59:59,3000-01-01T00:00:00
PB,B935,40.478699,-123.573196,696.7,"dinsmr935bcn2008, Dinsmore, CA, USA",2599-12-31T23:59:59,3000-01-01T00:00:00
PB,B039,41.4667,-122.4847,923.9,"cofflt039bcn2007, Weed, CA, USA",2599-12-31T23:59:59,3000-01-01T00:00:00
PB,B045,40.436,-123.9965,29.4,"rdcrst045bcn2008, Pepperwood, CA, USA",2599-12-31T23:59:59,3000-01-01T00:00:00
PB,B047,40.25047,-124.17133,80.0,"chapmn047scn2008, Mendocino, CA, USA",2599-12-31T23:59:59,3000-01-01T00:00:00
PB,B049,40.2375,-123.8197,117.0,"mirand049scn2008, Mendocino, CA, USA",2599-12-31T23:59:59,3000-01-01T00:00:00
PB,B933,40.06,-123.969,268.1,"mckeem933bcn2008, Thorn Junction, CA, USA",2599-12-31T23:59:59,3000-01-01T00:00:00
