Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
WR,GAS,39.654701,-122.715897,1355.0,Alder Springs,1980-06-01T00:00:00,3000-01-01T00:00:00
WR,GFR,39.617001,-122.427834,236.0,Fruta,1984-02-10T12:33:00,1986-01-01T23:59:00
WR,HUF,40.044498,-120.885597,2193.0,Hough Mtn,2000-12-20T00:00:00,3000-01-01T00:00:00
WR,MGL,39.811832,-121.556999,1010.0,Magalia,1966-11-01T00:00:00,2015-12-20T20:00:00
WR,ORV,39.553833,-121.500336,362.0,Oroville,1984-01-01T00:00:00,3000-01-01T00:00:00
WR,SFM,40.446541,-120.357841,2053.0,Shaffer Mtn,2000-12-20T00:00:00,3000-01-01T00:00:00
WR,BKW,39.769138,-120.43647,2209.0,Beckwourth Peak,2000-12-20T22:55:00,3000-01-01T00:00:00
WR,FRDLA,39.894577,-120.189189,1712.1,Frenchman Dam Left Abutment,2020-12-10T00:00:00,3000-01-01T00:00:00
WR,GBB,39.800835,-122.346336,246.0,Black Butte,1984-02-10T12:33:00,1985-11-12T23:59:00
WR,GRM,39.917168,-122.669502,1307.0,Round Mountain,1984-02-10T12:33:00,1985-11-02T23:59:00
WR,KPK,39.583328,-121.306328,897.0,Kanaka Peak,1984-01-01T00:00:00,3000-01-01T00:00:00
WR,NWFF,39.79575,-122.522248,215.0,Newville FF,2017-03-01T18:59:08,3000-01-01T00:00:00
