Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
XE,SNPD7,39.624802,-120.575798,1669.0,SNPD7,2006-09-09T00:00:00,2007-09-20T23:59:59
XE,SNPD8,39.6502,-120.224602,1546.0,SNPD8,2006-08-07T00:00:00,2007-12-30T23:59:59
XE,SNPD9,39.825901,-120.009499,1608.0,SNPD9,2007-01-06T00:00:00,2007-09-21T23:59:59
XE,SNPE7,39.804298,-120.7136,1537.0,SNPE7,2006-08-14T00:00:00,2007-12-30T23:59:59
XE,SNPE9,40.025002,-120.1875,1797.0,SNPE9,2006-08-07T00:00:00,2007-12-30T23:59:59
XE,SNPF6,39.681801,-121.091301,1535.0,SNPF6,2006-08-12T00:00:00,2007-12-30T23:59:59
XE,SNPF8,40.0112,-120.641197,2148.0,SNPF8,2006-08-12T00:00:00,2007-12-30T23:59:59
XE,SNPF9,40.180801,-120.397301,1331.0,SNPF9,2006-08-10T00:00:00,2007-12-30T23:59:59
XE,SNPG5,39.719002,-121.527,652.0,SNPG5,2006-08-12T00:00:00,2007-12-30T23:59:59
XE,SNPG7,40.109501,-121.172302,1591.0,SNPG7,2006-08-12T00:00:00,2007-12-30T23:59:59
XE,SNPG9,40.345299,-120.6017,1332.0,SNPG9,2006-08-10T00:00:00,2007-12-31T23:59:59
