Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
XQ,ME04,41.355,-123.514,431.0,Somes_Bar,2007-07-23T00:00:00,2009-12-31T23:59:59
XQ,ME06,41.341999,-121.695,1332.0,Hambone,2007-07-22T00:00:00,2009-12-31T23:59:59
XQ,ME07,41.167999,-123.912003,681.0,Bald_Hills,2007-07-30T00:00:00,2009-12-31T23:59:59
XQ,ME08,40.222,-123.305,835.0,Ruth,2007-07-21T00:00:00,2009-12-31T23:59:59
XQ,ME09,41.085999,-122.725998,867.0,Coffee_Creek,2007-07-21T00:00:00,2009-12-31T23:59:59
XQ,ME10,40.959099,-122.461899,834.0,La_Moine,2007-10-31T00:00:00,2009-12-31T23:59:59
XQ,ME11,41.056,-121.370003,1001.0,McArthur,2007-07-21T00:00:00,2009-12-31T23:59:59
XQ,ME12,40.104,-122.498001,178.0,Red_Bank,2007-07-19T00:00:00,2009-12-31T23:59:59
XQ,ME13,40.764,-122.917999,760.0,Weaverville,2007-07-21T00:00:00,2009-12-31T23:59:59
XQ,ME14,41.006001,-121.896004,590.0,Big_Bend,2007-07-24T00:00:00,2009-12-31T23:59:59
XQ,ME14A,41.007599,-121.896599,585.0,Big_Bend_2,2008-09-20T00:00:00,2009-05-16T23:59:59
XQ,ME15,40.810001,-121.683998,1380.0,Burney,2007-07-21T00:00:00,2009-12-31T23:59:59
XQ,ME16,40.577,-122.086998,269.0,Millville,2007-07-20T00:00:00,2009-12-31T23:59:59
XQ,ME17,40.535999,-121.722,1244.0,Viola,2007-07-20T00:00:00,2009-12-31T23:59:59
XQ,ME18,40.729,-121.022003,1996.0,Little_Valley,2007-07-31T00:00:00,2009-12-31T23:59:59
XQ,ME20,40.477001,-120.984001,1709.0,McCoy_Flat,2007-07-20T00:00:00,2009-12-31T23:59:59
XQ,ME21,40.348701,-121.237602,1505.0,Chester,2008-06-08T00:00:00,2009-12-31T23:59:59
XQ,ME22,40.123001,-121.555702,1336.0,Soda Springs,2008-06-08T00:00:00,2009-12-31T23:59:59
XQ,ME23,40.396,-121.455002,1863.0,Wilson_Lake,2007-07-22T00:00:00,2009-12-31T23:59:59
XQ,ME24,40.359001,-122.046997,206.0,Dales,2007-07-19T00:00:00,2009-12-31T23:59:59
XQ,ME25,40.294998,-121.802002,964.0,Paynes_Creek,2007-07-19T00:00:00,2009-12-31T23:59:59
XQ,ME26,40.157001,-122.098999,99.0,Dairyville,2007-07-18T00:00:00,2009-12-31T23:59:59
XQ,ME27,40.452999,-123.154999,771.0,Peanut,2007-07-21T00:00:00,2009-12-31T23:59:59
XQ,ME28,40.327,-122.471001,222.0,Dry_Creek,2007-07-20T00:00:00,2009-12-31T23:59:59
XQ,ME29,41.141998,-123.1408,725.0,Cecilville,2007-09-21T00:00:00,2009-12-31T23:59:59
XQ,ME30,40.842999,-123.565002,237.0,S_Trinity_River,2007-07-23T00:00:00,2009-12-31T23:59:59
XQ,ME31,40.722,-123.946999,820.0,Kneeland,2007-07-29T00:00:00,2009-12-31T23:59:59
XQ,ME32,40.590698,-123.859001,711.0,Laqua,2007-09-25T00:00:00,2009-12-31T23:59:59
XQ,ME33,40.483002,-123.802002,367.0,S_Bridgeville,2007-07-29T00:00:00,2009-12-31T23:59:59
XQ,ME34,40.483002,-124.126999,244.0,Rio_Dell,2007-09-18T00:00:00,2009-12-31T23:59:59
XQ,ME35,40.483002,-123.748001,369.0,N_Bridgeville,2007-07-27T00:00:00,2009-12-31T23:59:59
XQ,ME36,40.248199,-124.163803,73.0,Honeydew,2007-09-22T00:00:00,2009-12-31T23:59:59
XQ,ME37,40.285,-123.653999,501.0,Blocksburg,2007-07-27T00:00:00,2009-12-31T23:59:59
XQ,ME38,40.101002,-123.503197,275.0,XStewart,2007-09-19T00:00:00,2009-12-31T23:59:59
XQ,ME39,40.188202,-123.594299,341.0,Alderport,2007-09-26T00:00:00,2009-12-31T23:59:59
XQ,ME41,39.884998,-123.361,1017.0,XWylatti,2007-09-12T00:00:00,2009-12-31T23:59:59
XQ,ME42,39.7145,-123.273003,633.0,Covelo,2007-09-15T00:00:00,2009-12-31T23:59:59
XQ,ME43,39.570301,-123.175003,1143.0,S_Edin_Valley,2007-09-16T00:00:00,2009-12-31T23:59:59
XQ,ME49,39.8633,-123.719398,284.0,Legget,2007-09-17T00:00:00,2009-12-31T23:59:59
XQ,ME50,39.622002,-123.474998,634.0,Laytonville,2007-09-13T00:00:00,2009-12-31T23:59:59
XQ,ME56,39.887001,-122.8731,1534.0,Crane_Mills,2008-06-06T00:00:00,2009-12-31T23:59:59
XQ,ME57,39.9118,-122.567596,266.0,Paskenta_South,2007-10-23T00:00:00,2009-12-31T23:59:59
XQ,ME59,39.830002,-121.833,135.0,N_Chico,2007-07-17T00:00:00,2009-12-31T23:59:59
XQ,ME60,39.949001,-121.5364,1181.0,Stirling City,2008-04-06T00:00:00,2009-12-31T23:59:59
XQ,ME61,39.532001,-122.295998,65.0,Willows,2007-10-23T00:00:00,2009-12-31T23:59:59
XQ,ME62,39.534,-121.918999,25.0,Ord_Bend,2007-07-19T00:00:00,2009-12-31T23:59:59
XQ,ME80,40.345299,-120.6017,1336.0,Happy_Valley_Ranch,2007-09-19T00:00:00,2009-12-31T23:59:59
XQ,ME81,40.1096,-121.172302,1585.0,Butt_Lake,2007-09-18T00:00:00,2009-12-31T23:59:59
XQ,ME82,39.719002,-121.527,658.0,Bill_Snyder,2007-09-18T00:00:00,2009-12-31T23:59:59
XQ,ME83,40.180801,-120.397301,1360.0,Dalene,2007-09-19T00:00:00,2009-12-31T23:59:59
XQ,ME84,40.025002,-120.1875,1804.0,Jerry,2007-09-19T00:00:00,2009-12-31T23:59:59
XQ,ME85,40.0112,-120.641197,351.0,Genesee_Valley,2007-09-19T00:00:00,2009-12-31T23:59:59
XQ,ME86,39.804298,-120.7136,1530.0,Berm,2007-09-20T00:00:00,2009-12-31T23:59:59
XQ,ME87,39.681801,-121.091301,1536.0,Lumpkin_Ridge,2007-09-19T00:00:00,2009-12-31T23:59:59
XQ,ME91,39.6502,-120.224602,1551.0,Silver_Hog_Heaven,2007-09-19T00:00:00,2009-12-31T23:59:59
