Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
XS,304,40.695334,-122.856476,528.7,Converted from UTM Zone 10,2015-04-27T19:42:09,2015-05-12T05:02:27
XS,305,40.695464,-122.856267,531.8,Converted from UTM Zone 10,2015-04-27T19:40:24,2015-05-13T10:34:41
XS,306,40.695725,-122.855996,535.1,Converted from UTM Zone 10,2015-04-27T19:38:11,2015-05-12T21:43:43
XS,307,40.695851,-122.856098,545.0,Converted from UTM Zone 10,2015-04-27T19:36:42,2015-05-12T09:13:39
XS,308,40.695927,-122.85572,544.4,Converted from UTM Zone 10,2015-04-27T19:34:28,2015-05-12T15:31:16
XS,309,40.696067,-122.85588,562.0,Converted from UTM Zone 10,2015-04-27T19:32:30,2015-05-13T11:14:49
XS,310,40.696197,-122.855488,551.7,Converted from UTM Zone 10,2015-04-27T19:31:11,2015-05-12T02:58:58
XS,311,40.6964,-122.855546,553.5,Converted from UTM Zone 10,2015-04-27T19:29:52,2015-05-13T12:32:14
XS,312,40.696431,-122.855264,552.0,Converted from UTM Zone 10,2015-04-27T19:28:38,2015-05-12T06:05:46
XS,313,40.696665,-122.855034,552.7,Converted from UTM Zone 10,2015-04-27T19:26:24,2015-05-11T13:41:58
XS,314,40.696908,-122.855065,555.9,Converted from UTM Zone 10,2015-04-27T19:25:13,2015-05-13T03:42:47
XS,315,40.696908,-122.854804,0.0,Converted from UTM Zone 10,2015-04-27T19:23:02,2015-05-12T02:32:30
XS,316,40.697088,-122.854588,555.8,Converted from UTM Zone 10,2015-04-27T19:20:17,2015-05-13T01:08:57
XS,317,40.697259,-122.85461,557.0,Converted from UTM Zone 10,2015-04-27T19:18:35,2015-05-13T00:50:14
XS,318,40.697476,-122.855074,564.5,Converted from UTM Zone 10,2015-04-27T19:02:54,2015-05-12T23:59:47
XS,319,40.697539,-122.855437,586.9,Converted from UTM Zone 10,2015-04-27T19:05:02,2015-05-12T06:55:16
XS,320,40.69772,-122.855765,591.7,Converted from UTM Zone 10,2015-04-27T19:06:33,2015-05-13T21:34:27
XS,321,40.697887,-122.856076,600.5,Converted from UTM Zone 10,2015-04-27T19:08:18,2015-05-12T19:46:04
XS,322,40.698013,-122.856321,596.0,Converted from UTM Zone 10,2015-04-27T19:09:25,2015-05-12T12:41:44
XS,323,40.697367,-122.854353,0.0,Converted from UTM Zone 10,2015-04-27T19:16:34,2015-05-13T01:21:10
XS,324,40.697588,-122.8545,566.7,Converted from UTM Zone 10,2015-04-27T18:53:33,2015-05-12T01:39:34
XS,325,40.697583,-122.854187,0.0,Converted from UTM Zone 10,2015-04-27T18:49:25,2015-05-12T12:09:29
XS,326,40.697871,-122.854352,562.2,Converted from UTM Zone 10,2015-04-27T18:56:30,2015-05-13T07:51:52
XS,327,40.697857,-122.85396,546.2,Converted from UTM Zone 10,2015-04-27T18:29:34,2015-05-13T11:46:06
XS,328,40.698042,-122.854153,555.9,Converted from UTM Zone 10,2015-04-27T18:58:45,2015-05-12T20:20:59
XS,329,40.69806,-122.853813,551.3,Converted from UTM Zone 10,2015-04-27T18:21:28,2015-05-12T13:54:31
XS,330,40.698339,-122.853714,550.0,Converted from UTM Zone 10,2015-04-27T18:19:28,2015-05-13T14:53:30
XS,331,40.698438,-122.853752,554.6,Converted from UTM Zone 10,2015-04-27T18:17:56,2015-05-12T11:03:13
XS,332,40.698537,-122.853429,546.6,Converted from UTM Zone 10,2015-04-27T18:16:19,2015-05-12T16:06:50
XS,333,40.698753,-122.853482,552.1,Converted from UTM Zone 10,2015-04-27T18:13:25,2015-05-13T10:21:22
XS,334,40.698816,-122.853251,545.4,Converted from UTM Zone 10,2015-04-27T18:00:52,2015-05-12T17:01:29
XS,335,40.699113,-122.853058,558.5,Converted from UTM Zone 10,2015-04-27T18:03:51,2015-05-12T07:17:15
XS,336,40.699302,-122.852874,552.5,Converted from UTM Zone 10,2015-04-27T18:05:37,2015-05-13T06:21:38
XS,337,40.699536,-122.852644,555.3,Converted from UTM Zone 10,2015-04-27T18:08:19,2015-05-12T03:28:56
XS,338,40.698674,-122.85116,534.2,Converted from UTM Zone 10,2015-04-27T16:15:50,2015-05-12T13:36:50
XS,339,40.698512,-122.851293,534.5,Converted from UTM Zone 10,2015-04-27T16:14:30,2015-05-12T13:03:52
XS,340,40.698381,-122.851562,534.0,Converted from UTM Zone 10,2015-04-27T16:13:25,2015-05-12T20:57:59
XS,341,40.698228,-122.851726,536.8,Converted from UTM Zone 10,2015-04-27T16:12:22,2015-05-12T13:55:43
XS,342,40.698062,-122.851956,534.1,Converted from UTM Zone 10,2015-04-27T16:10:51,2015-05-13T01:02:27
XS,343,40.697805,-122.852102,530.0,Converted from UTM Zone 10,2015-04-27T16:20:34,2015-05-13T03:54:14
XS,344,40.697625,-122.852021,531.5,Converted from UTM Zone 10,2015-04-27T16:21:35,2015-05-12T16:26:48
XS,345,40.697436,-122.852187,532.3,Converted from UTM Zone 10,2015-04-27T16:22:32,2015-05-11T15:34:38
XS,346,40.69722,-122.852378,530.8,Converted from UTM Zone 10,2015-04-27T16:24:23,2015-05-12T03:49:25
XS,347,40.696919,-122.852536,531.8,Converted from UTM Zone 10,2015-04-27T16:28:33,2015-05-11T16:52:54
XS,348,40.696648,-122.852424,531.8,Converted from UTM Zone 10,2015-04-27T16:30:01,2015-05-12T18:04:17
XS,349,40.69645,-122.852314,530.7,Converted from UTM Zone 10,2015-04-27T16:31:39,2015-05-12T23:29:57
XS,350,40.696823,-122.851958,532.8,Converted from UTM Zone 10,2015-04-27T16:43:58,2015-05-13T02:12:56
XS,351,40.697031,-122.852008,530.8,Converted from UTM Zone 10,2015-04-27T16:45:21,2015-05-11T16:23:46
