Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
Z5,GB130,41.409698,-124.689903,-1088.0,LDEO OBS GB130,2013-10-31T00:00:00,2014-09-12T23:59:59
Z5,GB210,41.337002,-126.055801,-3094.0,LDEO OBS GB210,2013-11-02T00:00:00,2014-09-18T23:59:59
Z5,GB220,41.073299,-126.914497,-2998.0,LDEO OBS GB220,2013-10-16T00:00:00,2014-09-18T23:59:59
Z5,GB230,41.127201,-127.430702,-3310.0,LDEO OBS GB230,2013-10-15T00:00:00,2014-09-17T23:59:59
Z5,GB260,40.975498,-125.221298,-3067.0,LDEO OBS GB260,2013-11-01T00:00:00,2014-09-13T23:59:59
Z5,GB281,41.0284,-126.089897,-3124.0,SIO OBS ID GB281,2014-08-11T00:00:00,2015-09-16T23:59:59
Z5,GB320,40.396599,-125.912102,-2332.0,LDEO OBS GB320,2013-10-17T00:00:00,2014-09-16T23:59:59
Z5,GB321,40.3922,-125.911697,-2283.0,SIO OBS ID GB321,2014-08-02T00:00:00,2015-09-14T23:59:59
Z5,GB330,40.511101,-126.5849,-3156.0,LDEO OBS GB330,2013-10-16T00:00:00,2014-09-17T23:59:59
Z5,GB331,40.513,-126.584,-3137.0,SIO OBS ID GB331,2014-08-11T00:00:00,2015-09-14T23:59:59
Z5,GB340,40.3713,-127.442299,-1793.0,LDEO OBS GB340,2013-10-16T00:00:00,2014-09-17T23:59:59
Z5,GB341,40.372101,-127.442299,-1791.0,SIO OBS ID GB341,2014-08-01T00:00:00,2015-09-14T23:59:59
Z5,GB350,40.861801,-128.111603,-3299.0,LDEO OBS GB350,2013-10-15T00:00:00,2014-09-17T23:59:59
Z5,GB360,39.879601,-124.730797,-1312.0,LDEO OBS GB360,2013-10-31T00:00:00,2014-09-15T23:59:59
Z5,GB380,40.059399,-126.162498,-4068.0,SIO OBS ID GB380,2013-10-16T00:00:00,2014-08-02T23:59:59
Z5,GS240,41.428101,-128.055893,-3115.0,SIO OBS ID GS240,2013-10-13T00:00:00,2014-07-31T23:59:59
Z5,GS261,40.9785,-125.213501,-3077.0,SIO OBS ID GS261,2014-08-10T00:00:00,2015-09-16T23:59:59
Z5,GS270,40.785599,-125.556801,-3041.0,SIO OBS ID GS270,2013-11-01T00:00:00,2014-08-11T23:59:59
Z5,GS280,41.0336,-126.093399,-3125.0,SIO OBS ID GS280,2013-11-01T00:00:00,2014-08-03T23:59:59
Z5,GS300,40.7864,-126.468201,-3151.0,SIO OBS ID GS300,2013-10-15T00:00:00,2014-08-03T23:59:59
Z5,GS311,40.455399,-125.132004,-2498.0,SIO OBS ID GS311,2014-08-02T00:00:00,2015-09-15T23:59:59
Z5,GS400,40.141602,-127.822998,-4510.0,SIO OBS ID GS400,2013-10-14T00:00:00,2014-08-01T23:59:59
