#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | Instrument | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
BK|ARC||LHZ|40.87772|-124.077377|30.1|0|0|-90|STS-2,Velocity Sensor,STRECKEISEN|637324000|1|M/S|1|1992-05-28T19:48:00|2001-08-02T00:36:00
BK|BKS||LHZ|37.876221|-122.23558|243.9|25.6|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|969192000|1|M/S|1|1993-12-13T23:54:00|2011-02-25T22:00:00
BK|BRIB||LHZ|37.918861|-122.151703|187.4|34.8|0|-90|CMG-3ESP,Velocity Sensor,GURALP|2361550000|1|M/S|1|1995-07-07T00:00:00|1996-11-19T20:00:00
BK|BRIB||LHZ|37.918869|-122.151787|219.7|2.5|0|-90|CMG-3ESP,Velocity Sensor,GURALP|2451910000|1|M/S|1|1996-11-19T20:00:00|2000-12-20T00:01:00
BK|BRK||LHZ|37.87352|-122.260986|49.4|2.7|0|-90|STS-2,Velocity Sensor,STRECKEISEN|610553000|1|M/S|1|1996-08-16T00:00:00|2006-01-14T00:00:00
BK|CMB||LHZ|38.03455|-120.386513|697|2|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|952032000|1|M/S|1|1992-06-25T00:00:00|1996-09-25T18:54:00
BK|CMB||LHZ|38.03455|-120.386513|697|2|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|952032000|1|M/S|1|1996-09-25T19:19:00|2010-12-17T00:00:00
BK|FARB||LHZ|37.697819|-123.001099|-18.5|0|0|-90|CMG-40T,Velocity Sensor,GURALP|-338307000|1|M/S|1|1997-04-09T00:38:00|1997-04-29T00:00:00
BK|FARB||LHZ|37.697819|-123.001099|-18.5|0|0|-90|CMG-40T,Velocity Sensor,GURALP|-338307000|1|M/S|1|1997-04-29T00:00:00|1997-07-07T00:00:00
BK|FARB||LHZ|37.697819|-123.001099|-18.5|0|0|-90|CMG-40T,Velocity Sensor,GURALP|338307000|1|M/S|1|1997-03-15T00:00:00|1997-04-09T00:00:00
BK|FARB||LHZ|37.697819|-123.001099|-18.5|0|0|-90|CMG-40T,Velocity Sensor,GURALP|338307000|1|M/S|1|1997-04-09T00:00:00|1997-04-09T00:38:00
BK|FARB||LHZ|37.697819|-123.001099|-18.5|0|0|-90|CMG-40T,Velocity Sensor,GURALP|338307000|1|M/S|1|1997-07-07T00:00:00|1999-12-17T01:39:00
BK|HOPS||LHZ|38.993488|-123.072342|299.1|3|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|1027560000|1|M/S|1|1994-10-21T02:23:00|1995-12-18T21:37:00
