Device Name,WEATHER - 2406603
Device Model,5500L
Serial Number,2406603
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,Compass True Direction,Wind Chill
yyyy-MM-dd hh:mm:ss a,°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,Deg,°F,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
2023-09-15 02:53:39 PM,70.2,61.2,60.2,29.28,585,29.29,0.0,70.0,55.9,1654,--,--,--,--,70.2,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:53:44 PM,70.3,61.3,61.0,29.28,585,29.29,0.0,70.0,56.2,1659,--,--,--,--,70.2,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:53:49 PM,70.2,61.7,62.9,29.28,589,29.28,0.0,70.2,57.0,1666,--,--,--,--,70.2,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:53:54 PM,70.3,62.2,65.0,29.28,592,29.28,0.0,70.2,58.0,1683,--,--,--,--,70.2,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:53:59 PM,70.1,62.8,67.3,29.28,594,29.28,0.0,70.2,58.8,1676,--,--,--,--,70.0,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:04 PM,70.1,63.1,68.6,29.28,597,29.28,0.0,70.2,59.3,1688,--,--,--,--,70.0,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:09 PM,70.1,63.1,68.3,29.27,600,29.27,0.0,70.2,59.1,1688,--,--,--,--,70.0,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:14 PM,70.1,63.0,67.8,29.27,602,29.27,0.0,70.2,58.9,1688,--,--,--,--,70.0,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:19 PM,70.1,62.8,67.4,29.26,605,29.27,0.0,70.2,58.8,1691,--,--,--,--,70.0,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:24 PM,70.1,62.6,67.1,29.26,605,29.27,0.0,70.2,58.6,1686,--,--,--,--,70.0,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:29 PM,70.2,62.4,66.1,29.26,608,29.26,0.0,70.2,58.3,1698,--,--,--,--,70.2,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:34 PM,70.3,62.6,66.0,29.26,614,29.26,0.0,70.7,58.4,1713,--,--,--,--,70.2,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:39 PM,70.3,62.8,66.4,29.26,617,29.26,0.0,70.7,58.7,1718,--,--,--,--,70.3,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:44 PM,70.4,63.0,66.8,29.26,617,29.25,0.0,70.7,58.9,1730,--,--,--,--,70.3,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:49 PM,70.4,62.8,66.9,29.25,617,29.25,0.0,70.7,58.9,1728,--,--,--,--,70.3,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:54 PM,70.4,63.0,66.7,29.25,622,29.25,0.0,70.7,58.8,1735,--,--,--,--,70.3,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:54:59 PM,70.6,63.1,66.9,29.25,625,29.25,0.0,70.9,59.1,1750,--,--,--,--,70.5,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:55:04 PM,70.6,63.3,67.4,29.24,629,29.24,0.0,70.9,59.3,1757,--,--,--,--,70.5,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
2023-09-15 02:55:09 PM,70.5,63.5,68.5,29.23,630,29.24,0.0,70.9,59.7,1760,--,--,--,--,70.5,session,"Session - Sep 15, 2023 2:53:35 PM",2023-09-15 02:53:35 PM 2:53:35 PM,00:02:43,,,,Enter Notes
